0	10	-3	78	6717	11464	0.585921
1	10	-3	79	6735	11511	0.585093
2	10	-3	80	6745	11552	0.583882
3	10	-3	81	6751	11564	0.583795
4	10	-3	82	6720	11587	0.579960
5	10	0	78	6785	11587	0.585570
6	10	0	79	6823	11618	0.587278
7	10	0	80	6857	11642	0.588988
8	10	0	81	6899	11709	0.589205
9	10	0	82	6872	11723	0.586198
10	10	3	78	6578	11490	0.572498
11	10	3	79	6628	11499	0.576398
12	10	3	80	6659	11532	0.577437
13	10	3	81	6724	11566	0.581359
14	10	3	82	6712	11580	0.579620
15	11	-3	78	6644	11316	0.587133
16	11	-3	79	6682	11376	0.587377
17	11	-3	80	6658	11405	0.583779
18	11	-3	81	6648	11398	0.583260
19	11	-3	82	6655	11430	0.582240
20	11	0	78	6719	11415	0.588611
21	11	0	79	6782	11466	0.591488
22	11	0	80	6807	11496	0.592119
23	11	0	81	6856	11529	0.594674
24	11	0	82	6839	11564	0.591404
25	11	3	78	6533	11318	0.577222
26	11	3	79	6566	11337	0.579166
27	11	3	80	6621	11376	0.582015
28	11	3	81	6678	11406	0.585481
29	11	3	82	6718	11446	0.586930
30	12	-3	78	6614	11197	0.590694
31	12	-3	79	6597	11239	0.586974
32	12	-3	80	6572	11244	0.584490
33	12	-3	81	6574	11278	0.582905
34	12	-3	82	6563	11259	0.582911
35	12	0	78	6663	11258	0.591846
36	12	0	79	6705	11297	0.593520
37	12	0	80	6719	11330	0.593027
38	12	0	81	6744	11344	0.594499
39	12	0	82	6746	11406	0.591443
40	12	3	78	6464	11173	0.578538
41	12	3	79	6511	11192	0.581755
42	12	3	80	6575	11234	0.585277
43	12	3	81	6609	11268	0.586528
44	12	3	82	6640	11262	0.589593
45	13	-3	78	6473	11058	0.585368
46	13	-3	79	6488	11079	0.585612
47	13	-3	80	6453	11107	0.580985
48	13	-3	81	6498	11121	0.584300
49	13	-3	82	6496	11137	0.583281
50	13	0	78	6598	11108	0.593986
51	13	0	79	6623	11138	0.594631
52	13	0	80	6612	11168	0.592049
53	13	0	81	6638	11205	0.592414
54	13	0	82	6621	11240	0.589057
55	13	3	78	6364	11003	0.578388
56	13	3	79	6441	11053	0.582738
57	13	3	80	6485	11061	0.586294
58	13	3	81	6523	11088	0.588294
59	13	3	82	6544	11138	0.587538
60	14	-3	78	6401	10925	0.585904
61	14	-3	79	6421	10952	0.586286
62	14	-3	80	6405	10975	0.583599
63	14	-3	81	6443	10987	0.586420
64	14	-3	82	6428	11010	0.583833
65	14	0	78	6470	10961	0.590275
66	14	0	79	6510	10982	0.592788
67	14	0	80	6541	11031	0.592965
68	14	0	81	6549	11056	0.592348
69	14	0	82	6535	11079	0.589855
70	14	3	78	6296	10855	0.580009
71	14	3	79	6377	10910	0.584510
72	14	3	80	6418	10921	0.587675
73	14	3	81	6451	10934	0.589995
74	14	3	82	6461	10979	0.588487
